Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
Asador Soriano,"Rua dos Chans, 2, 36314 Vigo Spain", Playa Samil,"Steakhouse, Mediterranean, European, Spanish",14.95 - 49.83,"Mon - Sat : 8:30 PM - 12:00 AM
Thu : 12:00 PM - 5:00 PM
Fri - Wed : 12:30 PM - 5:00 PM",4.5,614,"October 9, 2021",17,14.95,49.83,October 9, 2021,Average,Excellent
MalaSangre Food & Club,"Calle de la Republica Argentina 6, 36201 Vigo Spain", Playa Samil,"Spanish, Fusion, Mediterranean",19.93 - 39.86,"Sun : 1:00 PM - 5:00 PM
Mon - Sat : 12:00 PM - 5:00 PM
Tue - Sat : 8:00 PM - 11:45 PM",4.5,279,"January 22, 2022",21,19.93,39.86,January 22, 2022,Average,Excellent
Burrito's,"Rua Bolivia 34, 36204 Vigo Spain", Playa Samil,"Mexican, Latin, Fusion, South American, Central American",0.06 - 0.12,"Mon - Sat : 1:00 PM - 4:00 PM,  8:30 PM - 12:00 AM",4.5,245,"January 7, 2020",1,0.06,0.12,January 7, 2020,Cheap,Excellent
Mijo Minibar,"Rua Luis Taboada 18, 36201 Vigo Spain", Playa Samil,"Mediterranean, European, Fusion, International",17.94 - 23.91,"Mon - Fri : 1:30 PM - 3:45 PM
Thu : 8:30 PM - 11:30 PM
Fri - Sat : 8:30 PM - 11:59 PM
Sat : 1:30 PM - 4:00 PM",4.5,284,"September 27, 2021",22,17.94,23.91,September 27, 2021,Average,Excellent
Kero Cocina Peruana,"Rua Castelar 6 Al lado de la plaza Compostela, 36201 Vigo Spain", Playa Samil,"Peruvian, Latin, Healthy",6.97 - 17.94,"Mon - Sat : 8:30 PM - 11:45 PM
Tue - Sat : 1:30 PM - 3:45 PM",4.5,338,"July 28, 2020",23,6.97,17.94,July 28, 2020,Cheap,Excellent
Ians' Restaurant,"Calle de San Vicente 39 Round the corner from Sherry's bar., 03501 Benidorm Spain", Playa de Levante,"Steakhouse, Seafood, European, British, Healthy",19.93 - 49.83,Tue - Sat : 7:00 PM - 9:30 PM,5.0,705,"January 17, 2022",2,19.93,49.83,January 17, 2022,Average,Excellent
Tepuy Burger,"16 Gerona Street, 03503 Benidorm Spain", Playa de Levante,"American, Steakhouse, International, Street Food, Venezuelan",6.97 - 14.95,"Sun - Thu : 8:00 PM - 11:00 PM
Sun - Sat : 1:30 PM - 4:00 PM
Fri - Sat : 8:00 PM - 11:30 PM",5.0,295,"January 8, 2022",1,6.97,14.95,January 8, 2022,Cheap,Excellent
ReFuel Bar & Restaurant,"Calle San Pedro 10, 03501 Benidorm Spain", Playa de Levante,"British, Bar, Gastropub",4.99 - 19.93,Sun - Sat : 9:00 AM - 11:00 PM,5.0,998,"January 26, 2022",4,4.99,19.93,January 26, 2022,Cheap,Excellent
Locanda Pau Modern Italian Restaurant,"Avenida Armada Espanola 21, 03502 Benidorm Spain", Playa de Levante,"Italian, International, Mediterranean, Seafood, Healthy, Neapolitan, Campania, Southern-Italian",19.93 - 79.72,"Wed - Mon : 12:30 PM - 5:00 PM,  7:00 PM - 11:00 PM",5.0,106,"January 9, 2022",5,19.93,79.72,January 9, 2022,Average,Excellent
Paneil's,"Carrer de la Palma 12 Benidorm Old Town, 03501 Benidorm Spain", Playa de Levante,"European, British",10.56 - 21.11,Sun - Sat : 6:30 PM - 11:00 PM,4.5,1811,"January 17, 2022",8,10.56,21.11,January 17, 2022,Cheap,Excellent
Sherpa Restaurante Asiatico,"Calle San Roc 13, 03501 Benidorm Spain", Playa de Levante,"Indian, Asian, Thai, Nepali",4.99 - 19.93,"Sun - Sat : 1:30 PM - 4:00 PM,  6:00 PM - 11:30 PM",5.0,415,"January 4, 2022",10,4.99,19.93,January 4, 2022,Cheap,Excellent
The Vagabond,"Calle Palma 17, 03501 Benidorm Spain", Playa de Levante,"French, Mediterranean, European",6.97 - 29.89,Wed - Mon : 7:00 PM - 11:30 PM,5.0,1701,"January 20, 2022",11,6.97,29.89,January 20, 2022,Cheap,Excellent
Paradiso,"Avenida Ametlla de Mar 22 Avenida de Roma 1, 03503 Benidorm Spain", Playa de Levante,"Steakhouse, International, Mediterranean, European, Healthy, Grill",8.97 - 19.93,Sun - Sat : 1:00 PM - 11:00 PM,4.5,1188,"January 25, 2022",13,8.97,19.93,January 25, 2022,Cheap,Excellent
Amigos Restaurant and Roof Terrace,"Calle Palma 14, 03501 Benidorm Spain", Playa de Levante,"Steakhouse, International, British, Fusion",18.93 - 39.86,Wed - Mon : 6:30 PM - 10:00 PM,5.0,2465,"December 25, 2021",15,18.93,39.86,December 25, 2021,Average,Excellent
Nepali Tandoori Restaurant,"Calle de Lepanto No. 21, 03503 Benidorm Spain", Playa de Levante,"Indian, Asian, Balti, Nepali",3.98 - 14.95,"Sun - Sat : 6:00 PM - 1:00 AM
Tue - Sun : 12:30 PM - 3:30 PM",5.0,819,"January 24, 2022",16,3.98,14.95,January 24, 2022,Cheap,Excellent
La Tana,"Calle del Moli Numero 12 Esquina Con Calle Palma, 03501 Benidorm Spain", Playa de Levante,"Italian, Mediterranean, Spanish, Healthy, European",9.96 - 19.93,"Sun - Sat : 1:00 PM - 4:00 PM,  7:00 PM - 12:00 AM",5.0,77,"October 29, 2021",21,9.96,19.93,October 29, 2021,Cheap,Excellent
Localolita Street Food,"Ctra. Alfas del Pi, 1 Junto a la Playa de Poniente, 03502 Benidorm Spain", Playa de Levante,"American, Street Food",3.98 - 18.93,"Thu - Mon : 7:30 PM - 11:00 PM
Thu - Tue : 12:30 PM - 4:30 PM",4.5,342,"October 3, 2021",20,3.98,18.93,October 3, 2021,Cheap,Excellent
Machete Gijón,"Calle Instituto 25, 33201, Gijon Spain",Centro,"Spanish, Diner, Wine Bar, Beer restaurants",9.96 - 34.88,"Mon - Fri : 8:30 AM - 12:00 AM
Sat : 10:30 AM - 12:00 AM",4.0,14,"December 10, 2021",310,9.96,34.88,December 10, 2021,Cheap,Excellent
Curry Leaf,"Calle Berlin 1, 03503 Benidorm Spain", Playa de Levante,"Indian, Asian, Balti",3.54 - 17.66,"Sun - Sat : 1:00 PM - 4:00 PM,  6:00 PM - 12:00 AM",4.5,543,"January 24, 2022",25,3.54,17.66,January 24, 2022,Cheap,Excellent
La Carpinteria,"Rua Alfolies 19, 36208 Vigo Spain", Playa Samil,"Mediterranean, European, Spanish",11.96 - 34.88,"Tue - Sun : 1:30 PM - 4:30 PM
Tue - Sat : 8:30 PM - 12:00 AM",4.5,472,"November 20, 2021",26,11.96,34.88,November 20, 2021,Average,Excellent
O Porton,"Calle Pescaderia 1, 36202 Vigo Spain", Playa Samil,"Seafood, Healthy",7.97 - 39.86,"Sun - Sat : 11:00 AM - 4:30 PM,  8:00 PM - 11:00 PM",4.5,1210,"November 1, 2021",27,7.97,39.86,November 1, 2021,Cheap,Excellent
Restaurante El Corralito,"Calle del Doctor Carlos Colmeiro Laforet 4, 36203 Vigo Spain", Playa Samil,"Spanish, Mediterranean, Healthy",8.97 - 19.93,"Mon - Thu : 1:00 PM - 3:45 PM
Mon - Fri : 8:30 PM - 11:30 PM
Fri : 1:00 PM - 3:30 PM
Sat - Sun : 1:00 PM - 4:00 PM,  8:30 PM - 12:00 AM",4.5,112,"January 5, 2022",29,8.97,19.93,January 5, 2022,Cheap,Excellent
Valdevez,"Rua San Bernardo 4 Casco Vello, 36202 Vigo Spain", Playa Samil,"Mediterranean, European, Spanish, Deli",14.95 - 39.86,"Mon - Sat : 12:30 PM - 4:30 PM,  8:00 PM - 12:00 AM",4.5,281,"July 29, 2019",30,14.95,39.86,July 29, 2019,Average,Excellent
Pizzeria Avanti Benidorm,"Calle San Miguel 3, 03501 Benidorm Spain", Playa de Levante,"Italian, Pizza, Mediterranean, European, Tuscan, Sicilian, Central-Italian, Southern-Italian",8.83 - 17.66,"Tue : 6:30 PM - 11:30 PM
Thu - Mon : 6:30 PM - 11:45 PM
Thu - Tue : 1:00 PM - 4:00 PM",4.5,512,"October 22, 2021",26,8.83,17.66,October 22, 2021,Cheap,Excellent
D-VORA Restaurante ( Dvora ),"Plaça de Sant Jaume 5, 03501 Benidorm Spain", Playa de Levante,"Mediterranean, European, Spanish, Contemporary, Fusion, Healthy",15.95 - 21.93,Sun - Sat : 8:00 AM - 11:45 PM,4.5,965,"January 19, 2022",27,15.95,21.93,January 19, 2022,Average,Excellent
Restaurante Casa Toni,"Avenida Cuenca 13, 03503 Benidorm Spain", Playa de Levante,"Mediterranean, European, Spanish",29.89 - 34.88,"Sun - Sat : 1:30 PM - 4:00 PM
Mon - Sat : 7:30 PM - 12:00 AM",4.5,390,"October 22, 2021",29,29.89,34.88,October 22, 2021,Average,Excellent
Jarrow Lad,"Calle San Pedro Old Town, 03501 Benidorm Spain", Playa de Levante,"Bar, British, Pub, Cafe, European",2.0 - 9.96,Sun - Sat : 9:30 AM - 10:00 PM,4.5,545,"October 8, 2021",30,2.0,9.96,October 8, 2021,Cheap,Excellent
Gusto Benidorm,"Calle San Pedro 1, 03501 Benidorm Spain", Playa de Levante,"Steakhouse, Mediterranean, European, Grill",7.97 - 19.93,Wed - Mon : 6:00 PM - 11:00 PM,4.5,367,"January 17, 2022",28,7.97,19.93,January 17, 2022,Cheap,Excellent
La Cacharreria,"Calle Uria 9, 33202, Gijon Spain",Centro,"Mediterranean, Spanish",26.5 - 35.33,"Wed - Sun : 1:30 PM - 3:30 PM,  8:30 PM - 10:30 PM",4.5,208,"November 8, 2021",2,26.5,35.33,November 8, 2021,Average,Excellent
Farragua Restaurante,"Calle Contracay 3 Bajo Izda Corner with Melquiades Alvarez Gijon, 33201, Gijon Spain",Centro,"Mediterranean, Spanish, Healthy, Contemporary",11.96 - 34.88,"Mon : 9:00 AM - 11:30 PM
Thu - Sun : 1:30 PM - 3:30 PM,  8:30 PM - 11:30 PM",5.0,223,"October 25, 2021",1,11.96,34.88,October 25, 2021,Average,Excellent
Bistro 21,"Calle Aguado 21, 33202, Gijon Spain",La Arena,"International, Mediterranean, Fusion",7.97 - 19.93,"Sun : 8:30 PM - 11:30 PM
Mon : 1:30 PM - 3:30 PM,  8:30 PM - 11:00 PM
Thu : 8:30 PM - 11:30 PM
Thu - Fri : 1:30 PM - 3:30 PM
Fri - Sat : 8:30 PM - 12:00 AM
Sat - Sun : 1:30 PM - 4:00 PM",4.5,213,"August 9, 2020",3,7.97,19.93,August 9, 2020,Cheap,Excellent
Serendipia,"Calle Ezcurdia 26 Muro San Lorenzo, 33202, Gijon Spain",Centro,"American, Healthy, Brew Pub, Dining bars",7.97 - 15.95,"Sun - Mon : 8:30 PM - 11:00 PM
Thu - Mon : 1:00 PM - 4:00 PM
Thu : 8:30 PM - 11:00 PM
Fri - Sat : 8:30 PM - 11:30 PM",4.5,319,"January 9, 2020",4,7.97,15.95,January 9, 2020,Cheap,Excellent
Sidreria Parrilla La Costa,"Avenida Costa 32 Frente a Plaza Europa, 33205, Gijon Spain",Centro,"Steakhouse, Mediterranean, Spanish, Argentinean",19.93 - 26.91,"Thu - Mon : 8:00 PM - 11:45 PM
Thu - Tue : 11:30 AM - 4:00 PM",4.5,678,"September 23, 2021",7,19.93,26.91,September 23, 2021,Average,Excellent
Las Calacas,"Calle de Maria Bandujo 5, 33201, Gijon Spain",Cimadevilla,"Mexican, Latin, Healthy, Central American",4.99 - 29.89,"Sun : 2:00 PM - 4:00 PM
Wed - Thu : 2:00 PM - 4:00 PM
Thu : 9:00 PM - 11:00 PM
Fri - Sat : 2:00 PM - 4:45 PM,  9:00 PM - 12:45 AM",4.5,477,"August 24, 2020",9,4.99,29.89,August 24, 2020,Cheap,Excellent
Karan Restaurant,"Calle Melquiades Alvarez 3, 33201, Gijon Spain",Centro,"American, Fast Food",9.96 - 19.93,"Wed - Sun : 8:00 PM - 11:30 PM
Thu - Sun : 1:30 PM - 4:00 PM",4.5,333,"March 13, 2020",10,9.96,19.93,March 13, 2020,Cheap,Excellent
La Cesteria,"Calle de San Bernardo 3 N°9, 33201, Gijon Spain",Centro,Spanish,2.0 - 7.97,"Sun - Thu : 7:30 PM - 11:00 PM
Fri - Sun : 1:00 PM - 5:00 PM
Fri - Sat : 8:00 PM - 12:00 AM",4.5,124,"May 7, 2019",12,2.0,7.97,May 7, 2019,Cheap,Excellent
As de Picas,"Calle Fernandez Vallin, 33205, Gijon Spain",Centro,"Mediterranean, European, Spanish",13.95 - 66.77,"Tue - Sun : 1:30 PM - 4:00 PM
Tue - Sat : 9:00 PM - 11:30 PM",4.5,766,"November 7, 2021",14,13.95,66.77,November 7, 2021,Average,Excellent
Restaurante El Cencerro,"Calle Decano Prendes Pando 24, 33208, Gijon Spain",Centro,"Mediterranean, European, Spanish",19.93 - 49.83,"Tue - Sun : 11:30 AM - 4:30 PM
Tue - Sat : 7:30 PM - 12:30 AM",4.5,425,"August 9, 2020",15,19.93,49.83,August 9, 2020,Average,Excellent
Padrino,"Calle de Santa Elena 5 50 metros del Ayuntamiento., 33201, Gijon Spain",Centro,"Italian, Healthy, Pizza",0.06 - 0.15,"Sun : 1:30 PM - 4:00 PM
Tue - Sun : 8:30 PM - 11:30 PM
Tue - Fri : 1:30 PM - 4:00 PM
Sat : 1:30 PM - 3:30 PM",4.5,866,"October 16, 2019",13,0.06,0.15,October 16, 2019,Cheap,Excellent
Restaurante Auga,"Calle Claudio Alvargonzalez s/n Edificio Antigua Rula, 33201, Gijon Spain",Cimadevilla,"Mediterranean, European, Spanish, Contemporary, Fusion",42.85 - 71.75,"Tue - Sun : 1:00 PM - 3:30 PM
Tue - Sat : 9:00 PM - 11:30 PM",4.5,1125,"October 31, 2021",17,42.85,71.75,October 31, 2021,Average,Excellent
El Recetario de Álex Sampedro,"Calle de Trinidad 1 Al lado de la Plaza Mayor, 33201, Gijon Spain",Cimadevilla,"Mediterranean, European, Spanish, Contemporary",6.97 - 29.89,"Mon : 9:00 AM - 11:30 PM
Tue : 1:00 PM - 3:30 PM
Thu - Sun : 1:00 PM - 3:45 PM,  8:00 PM - 11:30 PM",4.5,279,"August 19, 2019",18,6.97,29.89,August 19, 2019,Cheap,Excellent
La Salgar,"Paseo Doctor Fleming 859, 33203, Gijon Spain", Playa de San Lorenzo,"European, Spanish",49.83 - 99.66,"Tue - Sun : 1:00 PM - 4:00 PM
Thu - Sat : 9:00 PM - 12:00 AM",4.5,551,"August 6, 2019",22,49.83,99.66,August 6, 2019,Average,Excellent
Bombay Beach Indian Tandoori,"Avenida Rafael Puig Lluvina, No 43 CC Bora-Bora, Local 16B, 38660 Santa Cruz de Tenerife, Tenerife Spain", Los Cristianos Harbour,"Indian, International, Asian, Balti",9.96 - 29.89,Sun - Sat : 11:30 AM - 11:30 PM,5.0,118,"January 6, 2022",18,9.96,29.89,January 6, 2022,Cheap,Excellent
Ricos restaurant,"Paseo Estocolmo,2 Centro Los cristianos, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Seafood, Italian, International, European, Spanish, Catalan",6.97 - 34.88,Mon - Sat : 6:00 PM - 11:00 PM,5.0,883,"January 26, 2022",1,6.97,34.88,January 26, 2022,Cheap,Excellent
Smile Italian Restaurant&Cafe,"Avenida de Espana 25 Inside Shopping Mall Terranova,1st floor, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Italian, Cafe, Mediterranean, European, Healthy, Neapolitan",2.0 - 9.96,"Sun : 12:00 PM - 5:00 PM
Tue - Sat : 12:00 PM - 10:00 PM",5.0,402,"January 16, 2022",1,2.0,9.96,January 16, 2022,Cheap,Excellent
Sal fina,"Paseo de Berlin 5 Esempio: incrocio o piazza, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Italian, Mediterranean, European, Gastropub",6.97 - 17.94,"Mon - Sat : 12:00 PM - 3:30 PM,  6:30 PM - 11:00 PM",5.0,741,"January 24, 2022",4,6.97,17.94,January 24, 2022,Cheap,Excellent
Little India,"Calle Hermano Pedro de Bethencourt C.C. Apolo local 3, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Indian, Asian, Healthy, Balti",2.99 - 11.96,Sun - Sat : 2:00 PM - 11:30 PM,5.0,1802,"January 26, 2022",5,2.99,11.96,January 26, 2022,Cheap,Excellent
Mirchis Tandoori,"Calle de Cuba 2 Playa de las Américas Acapulco Building, Local 1, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Indian, Healthy",5.98 - 17.94,Sun - Sat : 2:00 PM - 11:00 PM,5.0,140,"January 23, 2022",2,5.98,17.94,January 23, 2022,Cheap,Excellent
Bbq Spice indian tandoori,"Paseo Guadalajara, 38660 Playa de las Americas, Arona, Tenerife Spain", Los Cristianos Harbour,"Indian, International, Asian, Healthy",2.99 - 12.96,"Mon : 5:00 PM - 11:30 PM
Tue - Sun : 5:00 PM - 11:00 PM",5.0,1234,"January 26, 2022",1,2.99,12.96,January 26, 2022,Cheap,Excellent
El Horno De Neptuno,"Avenida de Espana 7 CC Terranova loc 511 Puerto Colon ACCSESS BY SAO PAOLO TERRACE, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Mediterranean, European, Spanish",5.98 - 44.84,"Mon : 6:00 PM - 10:30 PM
Tue - Sat : 2:00 PM - 10:30 PM",5.0,339,"January 27, 2022",4,5.98,44.84,January 27, 2022,Cheap,Excellent
"Zoco, Arabic New Concept","Calle Texas, 37 Shopping Pasarela, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Steakhouse, Lebanese, Moroccan, Middle Eastern, Healthy",24.91 - 34.88,Sun - Sat : 1:30 PM - 11:00 PM,5.0,119,"January 24, 2022",6,24.91,34.88,January 24, 2022,Average,Excellent
Delhi Darbar,"Avenida Ernesto Sarti 14 Complejo oro verde, Local 1, 2, 38660, Adeje, Tenerife Spain", Siam Park,"Indian, Asian, Balti",4.99 - 19.93,Sun - Sat : 2:00 PM - 11:30 PM,5.0,2469,"January 27, 2022",5,4.99,19.93,January 27, 2022,Cheap,Excellent
'ARDI,"Avenida Antonio Dominguez El Camison 34, 38650, Arona, Tenerife Spain", Los Cristianos Harbour,"Italian, Mediterranean, European, Healthy",3.98 - 21.93,Mon - Sat : 7:00 PM - 11:00 PM,5.0,996,"January 20, 2022",1,3.98,21.93,January 20, 2022,Cheap,Excellent
Restorante Pizzeria Rimini,"Calle Boston 2 Parque Margarita, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Italian, Sicilian, Central-Italian, Southern-Italian, Grill",7.07 - 18.55,"Wed : 11:00 AM - 11:30 PM
Thu - Tue : 11:00 AM - 11:00 PM",4.5,630,"January 22, 2022",62,7.07,18.55,January 22, 2022,Cheap,Excellent
Welcome India,"Calle Valencia No. 3 Pueblo Torviscas Mall, local E03 and E04, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Indian, Asian, Balti",3.98 - 19.93,"Sun - Fri : 1:00 PM - 11:30 PM
Sat : 1:00 PM - 11:00 PM",5.0,839,"January 22, 2022",6,3.98,19.93,January 22, 2022,Cheap,Excellent
Oliver's Out of Town,"Carretera General 51, Number 87, 38640, Arona, Tenerife Spain", Siam Park,"European, British",20.93 - 20.93,Tue - Sat : 6:30 PM - 11:00 PM,5.0,1866,"January 23, 2022",2,20.93,20.93,January 23, 2022,Average,Excellent
Beer Garden Tenerife,"Avenida De Colon Complejo Villaflor B20, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Bar, British, Pub, Beer restaurants",2.0 - 6.97,Sun - Sat : 9:00 AM - 2:00 AM,5.0,104,"January 20, 2022",7,2.0,6.97,January 20, 2022,Cheap,Excellent
Restaurante Mint ( flavours of india),"Avenida de Juan Carlos I s/n Near to Hotel Arona, Jardines del Sur, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Indian, Brew Pub, Asian, Balti",7.97 - 19.93,Tue - Sun : 2:00 PM - 11:00 PM,5.0,465,"January 20, 2022",9,7.97,19.93,January 20, 2022,Cheap,Excellent
The Thirsty Turtle Café & Terrace Bar,"Avenida de Espana numero 2, 38660, Adeje, Tenerife Spain", Los Cristianos Harbour,"Bar, Cafe, Healthy, International, Gastropub",4.99 - 24.91,Sun - Sat : 12:00 AM - 11:59 PM,5.0,585,"January 25, 2022",9,4.99,24.91,January 25, 2022,Cheap,Excellent
Restaurante Donaire,"Calle Fernando Lopez Arvelo, 1 GF Victoria Hotel at 4th Level, 38660, Adeje, Tenerife Spain", Siam Park,"European, Spanish, International, Contemporary, Fusion",48.83 - 74.74,Tue - Sat : 7:00 PM - 10:30 PM,5.0,205,"January 26, 2022",10,48.83,74.74,January 26, 2022,Average,Excellent
El Tomate Bistro,"Calle de San Antonio 7, 33201, Gijon Spain",Centro,"Mediterranean, Spanish",19.93 - 29.89,"Tue - Sun : 1:30 PM - 4:00 PM
Wed - Sat : 9:00 PM - 11:59 PM",4.5,332,"January 21, 2022",25,19.93,29.89,January 21, 2022,Average,Excellent
La Jaula de los 3 Grillos,"Calle del Marques de San Esteban 7, 33206, Gijon Spain",Centro,Spanish,9.96 - 29.89,"Sun : 1:00 PM - 4:00 PM
Thu - Sat : 1:00 PM - 3:30 PM,  8:00 PM - 12:00 AM",4.5,199,"August 29, 2019",29,9.96,29.89,August 29, 2019,Cheap,Excellent
Micky O'Malley's,"Sunset Bay, Las Amenos, Costa Adeje Sunset Bay, 38670, Adeje, Tenerife Spain", Los Cristianos Harbour,"Irish, Bar, British",3.58 - 8.35,Thu - Tue : 9:00 AM - 12:00 AM,5.0,796,"January 23, 2022",11,3.58,8.35,January 23, 2022,Cheap,Excellent
Imperial Tai-Pan,"urbanizacion Americas 5, 38660 Playa de las Americas, Arona, Tenerife Spain", Los Cristianos Harbour,"Chinese, Japanese, Sushi, Asian",9.96 - 37.87,Sun - Sat : 1:30 PM - 11:00 PM,4.5,3571,"January 26, 2022",4,9.96,37.87,January 26, 2022,Cheap,Excellent
Restaurante Verona Los Boliches,"Paseo Maritimo Rey de Espana 78 Los Boliches, 29640 Fuengirola Spain", Los Boliches,"Italian, Mexican, Indian, Pizza",4.99 - 29.89,Sun - Sat : 12:00 PM - 12:00 AM,5.0,112,"January 25, 2022",3,4.99,29.89,January 25, 2022,Cheap,Excellent
Chez Boyejo,"Yate 3 Local 6 Calle San Francisco, 29640 Fuengirola Spain", Los Boliches,"Mediterranean, Healthy, International, Fusion",9.96 - 29.89,"Wed - Fri : 4:00 PM - 10:00 PM
Sat - Sun : 2:00 PM - 10:00 PM",5.0,239,"December 27, 2021",2,9.96,29.89,December 27, 2021,Cheap,Excellent
La Casita Mexicana,"Calle Moncayo 12 Fish alley street, 29640 Fuengirola Spain", Los Boliches,"Grill, Mexican, Healthy",5.98 - 17.94,Sun - Sat : 1:00 PM - 12:00 AM,5.0,550,"January 17, 2022",4,5.98,17.94,January 17, 2022,Cheap,Excellent
Restaurante Palangreros,"Calle Palangreros 22 Centrico, 29640 Fuengirola Spain", Los Boliches,"Mediterranean, European, Spanish",19.93 - 39.86,"Fri - Sun : 1:00 PM - 3:00 PM
Fri - Wed : 7:00 PM - 10:00 PM",5.0,2268,"January 22, 2022",5,19.93,39.86,January 22, 2022,Average,Excellent
Namaste Fusion,"Calle General Rodrigo 4 Detras Del Hotel Stella Maris Cerca de de la Virgen Del Rocio, 29640 Fuengirola Spain", Los Boliches,"Indian, Fusion, Healthy",9.96 - 19.93,"Sun - Sat : 1:00 PM - 4:00 PM,  6:00 PM - 11:30 PM",5.0,1205,"November 29, 2021",6,9.96,19.93,November 29, 2021,Cheap,Excellent
Higuerote,"Edif. Las nieves II Calle Moncayo 37 Local 4, 29640 Fuengirola Spain", Los Boliches,"Caribbean, Fast Food, Venezuelan, International",2.0 - 14.95,Tue - Sun : 12:00 PM - 12:00 AM,5.0,96,"October 14, 2021",9,2.0,14.95,October 14, 2021,Cheap,Excellent
