Business Name,Average rating,Number of reviews,Rating Label
Restorante Pizzeria Rimini,4.5,630,Excellent
Welcome India,5.0,839,Excellent
Oliver's Out of Town,5.0,1866,Excellent
Beer Garden Tenerife,5.0,104,Excellent
Restaurante Mint ( flavours of india),5.0,465,Excellent
The Thirsty Turtle Café & Terrace Bar,5.0,585,Excellent
Restaurante Donaire,5.0,205,Excellent
El Tomate Bistro,4.5,332,Excellent
La Jaula de los 3 Grillos,4.5,199,Excellent
Micky O'Malley's,5.0,796,Excellent
Imperial Tai-Pan,4.5,3571,Excellent
Restaurante Verona Los Boliches,5.0,112,Excellent
Chez Boyejo,5.0,239,Excellent
La Casita Mexicana,5.0,550,Excellent
Restaurante Palangreros,5.0,2268,Excellent
Namaste Fusion,5.0,1205,Excellent
Higuerote,5.0,96,Excellent
Arte y Cocina Restaurant,5.0,619,Excellent
The B's Knees,5.0,138,Excellent
GastroVinum,5.0,270,Excellent
Lotus Steak & Burger House,5.0,255,Excellent
Happy Flavors,5.0,253,Excellent
La Marmita,5.0,744,Excellent
Pasapalo,4.5,623,Excellent
Munchies Smokehouse & Bar,5.0,935,Excellent
Aroma,5.0,411,Excellent
All Andalus,5.0,548,Excellent
Don Julian Gastrobar,4.5,203,Excellent
Tako Boy,4.5,216,Excellent
Casa Mavi italian restaurant and pizzeria,4.5,507,Excellent
Habla Pez,3.5,121,Average
Asador Gastrogaucho Malbec Wine Club,5.0,238,Excellent
Pirañaconda Restaurante,5.0,106,Excellent
Tedone Jatetxea,4.5,1725,Excellent
Boo'z Inn,5.0,156,Excellent
Serendipia Slow Food & Bar,5.0,351,Excellent
Casero,5.0,1271,Excellent
Restaurante Casa Paco PLAYA,4.0,237,Excellent
Ibiza Style Bar Restaurant,5.0,1022,Excellent
El Patito Beach Bar & Snacks,5.0,114,Excellent
The Carvery,5.0,1734,Excellent
ANGUS Playamar,5.0,123,Excellent
Alvocat Vegan & Vegetarian Restaurant,4.5,243,Excellent
Restaurante Raco de l'abat,4.5,838,Excellent
ELIAN Restaurant,4.5,219,Excellent
Arcs Restaurant,4.5,939,Excellent
La Caleta,4.5,275,Excellent
VaDeGust,4.5,319,Excellent
El Taller,4.5,391,Excellent
La Cuineta,4.5,1374,Excellent
Les Fonts de Can Sala,4.5,223,Excellent
Mendaur Berria,5.0,1077,Excellent
Trikuharri Taberna Jatetxea,4.5,541,Excellent
Bar Sport,4.5,2853,Excellent
Ristorante Civico 14,4.5,173,Excellent
La Madame,4.5,1191,Excellent
South Beach Restobar,5.0,176,Excellent
Pocho's Bar,5.0,216,Excellent
All Grill,5.0,750,Excellent
Bacchus' Terrace,5.0,468,Excellent
The Lime Avenue,5.0,336,Excellent
Multanis Black Angus Grill,4.5,203,Excellent
Gastrobar Restaurant Florín,5.0,247,Excellent
Zabor Fetén,5.0,155,Excellent
BelGuNa,5.0,82,Excellent
The Wala Room,5.0,245,Excellent
T Kippenhuis,5.0,245,Excellent
Il Pescatore,5.0,319,Excellent
Ela's Gastrobar,4.5,229,Excellent
4 Cuartos,4.5,779,Excellent
Meatina Steakhouse,5.0,1070,Excellent
AQ,4.5,654,Excellent
El Vergel Veggie Restaurant,4.5,1093,Excellent
Sadoll Restaurant,4.5,235,Excellent
Braseria Taula Rodona,4.5,384,Excellent
La Taverna del A3mans,4.5,174,Excellent
El Tiberi,4.0,553,Excellent
El Pòsit del Serrallo,4.0,773,Excellent
Casa Balcells,4.5,206,Excellent
Misura,4.5,248,Excellent
Agorregi jatetxea,4.5,599,Excellent
Mala Gissona Beer House Gros,4.5,191,Excellent
Bully,4.5,680,Excellent
New Friends Bar and Restaurant,5.0,332,Excellent
Panorama Bistro Bar,4.5,553,Excellent
Cinnamon Club,4.5,893,Excellent
Restaurant Kathmandu 2,4.5,307,Excellent
The Japo,5.0,61,Excellent
The Lilac Tree Restaurant & Bar,4.5,204,Excellent
ANGUS Torrequebrada,4.5,605,Excellent
Raju's Indian City,4.5,536,Excellent
Pizza Palace,4.5,282,Excellent
De Cai Ajopicao,4.5,273,Excellent
Vinoteca Moncloa,4.5,317,Excellent
Patagonia Express,5.0,186,Excellent
La Piazzetta,4.5,1000,Excellent
The Kathmandu Nepali Indian Restaurant,4.5,1270,Excellent
El Gato Lounge,4.5,2794,Excellent
Arzak,4.5,3185,Excellent
Zazpi STM,4.5,826,Excellent
Astelena 1997 Restaurante,4.5,1032,Excellent
Xiri,4.5,141,Excellent
Juantxo Taberna,4.5,559,Excellent
MOO MOO'S,4.5,740,Excellent
Muell3,4.5,321,Excellent
El Trull,4.0,245,Excellent
La Andaluza LC de la Part Alta,4.0,376,Excellent
El Encuentro Asturiano calle unión,4.0,324,Excellent
"La Tagliatella Rambla Nova, Tarragona",4.0,378,Excellent
Restaurant Seasons,4.5,39,Excellent
Restaurante Moncayo 35,4.5,783,Excellent
Bodegas Bibendum,4.5,571,Excellent
Restaurante Las Tablas Del Rey,4.5,417,Excellent
Moochers Jazz Cafe,4.5,1639,Excellent
Akabeko,4.5,290,Excellent
Mia's Pizzorante,4.5,425,Excellent
El Rancho de Salva,4.5,402,Excellent
Polka,4.5,204,Excellent
Morgan Restaurante,4.5,293,Excellent
Geralds Bar,4.5,235,Excellent
La Cuchara de San Telmo,4.5,2976,Excellent
Wissler Bar & Burgers,5.0,32,Excellent
Cócula,4.0,177,Excellent
Meson del Mar,4.0,346,Excellent
Lola Bistro Tarragona,4.5,50,Excellent
Los Enebros,4.5,405,Excellent
Crispy Cod,4.5,1276,Excellent
Beirut Nights,4.5,428,Excellent
LoLa Cafe Bar,4.5,203,Excellent
Casa Urola,4.5,947,Excellent
Lime & Lemon,4.5,1761,Excellent
Mapa Verde,4.5,125,Excellent
Damadá Gastroteka,4.5,131,Excellent
Restaurante Aitzgorri,4.5,188,Excellent
Amelia by Paulo Airaudo,4.5,293,Excellent
Restaurante Tracamundana,4.5,140,Excellent
Bodega Donostiarra,4.5,1088,Excellent
Restaurante Biarritz,4.5,720,Excellent
The Morgan Kompany,4.5,265,Excellent
Akelarre,4.5,1763,Excellent
Restaurante Kokotxa,4.0,795,Excellent
Arraun,5.0,46,Excellent
Bar Pepe,4.0,469,Excellent
Dory's Chippy and Bar,4.5,234,Excellent
Restaurante La Escalera Torremolinos,4.5,336,Excellent
Tudor Rose,4.5,642,Excellent
La Cacerola,4.5,795,Excellent
Mini India Torremolinos,5.0,80,Excellent
Mejor con Reserva,4.5,261,Excellent
La Palapa Beach,4.5,348,Excellent
El Bodegon,4.5,366,Excellent
Caruso Bar Ristorante Pizzeria,5.0,87,Excellent
Granvinos,4.5,1073,Excellent
Fig & Olive,4.5,235,Excellent
La Pepa,4.5,319,Excellent
Banana's Beach Club,4.5,545,Excellent
The Fat Fajita,4.5,350,Excellent
Grandcafe De  Brabander,5.0,120,Excellent
Le Pizze & Le paste d' Italia,4.5,257,Excellent
La Terrazza tapas bar & grill,4.5,201,Excellent
La Sirena,4.5,1063,Excellent
Erase Una Vez,4.5,889,Excellent
Amigos Torrequebrada,4.5,374,Excellent
Namaste indian restaurant,5.0,104,Excellent
Amici Italian Restaurant,4.5,349,Excellent
La Cubana,4.5,573,Excellent
ANGUS Puerto Marina,4.5,1507,Excellent
Palm 5 Beach Bar,4.5,868,Excellent
Tex Mex Gringos,4.5,713,Excellent
Akustito Restaurante y Coctelería,5.0,485,Excellent
Cafe Bar Lormar,5.0,283,Excellent
Suka Fruit Cocktail,5.0,209,Excellent
El Ventorrillo,5.0,150,Excellent
Empire Modern British Restaurant & Steak House,4.5,3727,Excellent
Taberna Cántabra,5.0,236,Excellent
TeD - Los Cristianos,5.0,140,Excellent
Love India,4.5,736,Excellent
Taste Sin Gluten,5.0,485,Excellent
Halfway Cafe,5.0,474,Excellent
Calma Balkan Cuisine,5.0,128,Excellent
Dedos Global Kitchen,4.5,1520,Excellent
ThaiRico,5.0,154,Excellent
Carlos Restaurant,4.5,1506,Excellent
Antico Caffe,4.5,983,Excellent
Bobby's III Indian Tandoori Restaurant,5.0,1362,Excellent
Finca Tres Roques,5.0,167,Excellent
Almar Tenerife,4.5,1128,Excellent
La Pondala,4.5,436,Excellent
Casa Trabanco,4.5,766,Excellent
La Taberna Zingara Gijón,4.0,583,Excellent
Tierra Astur Poniente,4.0,3813,Excellent
La cocina de Lolo,4.5,195,Excellent
Tierra Astur Espichas,4.5,202,Excellent
A Feira Do Pulpo,4.0,490,Excellent
La Casa del Parque,4.5,198,Excellent
El Feudo,4.0,362,Excellent
Go Sushi,4.0,252,Excellent
Amares Gastronomía,4.5,82,Excellent
Golfo Vermuteria & Casual Food,4.5,93,Excellent
El Temporal Vigo,4.5,87,Excellent
Da-VID,4.5,358,Excellent
Nikkō espacio gastronómico,4.5,136,Excellent
Abisal restaurante,4.5,137,Excellent
Kita,4.5,96,Excellent
Porto Santo,4.0,515,Excellent
Pizzeria L'Italiana,4.5,313,Excellent
La Pepita Burger Bar - Vigo,4.0,1363,Excellent
PurOsushi,4.5,127,Excellent
Alium,4.5,79,Excellent
Rias baixas 2,4.0,573,Excellent
Casa Galeguesa,4.0,334,Excellent
Fuxion Gastrobar,4.5,267,Excellent
Ristorante Coliseo Pizzeria,4.5,254,Excellent
India Gate,4.5,1439,Excellent
Pinocchio Restaurant,4.5,347,Excellent
Bar Cofradia,4.5,489,Excellent
Two Palms Restaurant,4.5,1028,Excellent
Duetto,4.5,1549,Excellent
Ristorante Pizzeria L'Originale Benidorm,4.5,962,Excellent
Steak 21 Urban Kitchen,5.0,48,Excellent
La Oficina del Gusto,5.0,69,Excellent
Mumbai Masala Playa Paraíso,5.0,754,Excellent
Spice Garden Indian Restaurant,5.0,739,Excellent
Lagarto Brasserie,4.5,1421,Excellent
Bloom Bar & Brunch,5.0,219,Excellent
"La Tagliatella CC Torrecárdenas, Almería",5.0,347,Excellent
UM Beach House Portals,4.5,300,Excellent
Il Tano Portals Nous,4.5,365,Excellent
Restaurant Les 2 Freres,5.0,245,Excellent
Jovellanos 16,4.5,482,Excellent
UDON Torre Cardenas,4.5,292,Excellent
Tony Garcia Espacio Gastronomico,4.0,468,Excellent
Illetas Boulevard Restaurante,4.5,389,Excellent
La Tagliatella Almeria,4.5,813,Excellent
La mala,4.5,1785,Excellent
La Mala- Croqueteria,4.5,710,Excellent
Aljaima,4.5,298,Excellent
Chi Ton,4.5,423,Excellent
Ristorante Alby's,5.0,65,Excellent
The Seaside,5.0,116,Excellent
La Lonja,4.5,229,Excellent
Restaurante Pizzeria Palette,4.0,519,Excellent
Ciao Bella,4.5,342,Excellent
Casa Monaco,5.0,44,Excellent
Restaurante Dominique's Fuengirola,4.5,567,Excellent
Tutto Bene Trattoria,4.5,354,Excellent
Restaurante Don Pé,4.5,306,Excellent
FMOS,5.0,94,Excellent
Taxi-Angus Burger,4.5,622,Excellent
The Wessex Bar,4.5,772,Excellent
Bambù Café Restaurant,5.0,114,Excellent
House of Flavours,5.0,112,Excellent
Restaurante Playa Larry Torremolinos,4.0,479,Excellent
Canto del Agua,4.5,313,Excellent
Chiringuito La Moraga,4.5,217,Excellent
Bar Chill,5.0,54,Excellent
Ponderosa Roadhouse,4.5,184,Excellent
MESON LA SALINA,4.5,371,Excellent
Old Swiss House Restaurant,4.5,166,Excellent
Octopussy,4.0,368,Excellent
UDON Parc Central,4.0,158,Excellent
Kraken Tarragona,5.0,34,Excellent
Apats Quattros,4.0,142,Excellent
Bitcoin Rock Cafe,5.0,32,Excellent
Raco de la mora,4.0,269,Excellent
Korxo,4.5,54,Excellent
Palau del Baro,4.0,490,Excellent
El Complet,4.0,274,Excellent
Miss Sushi Tarragona,4.0,219,Excellent
Maria Manuela,4.5,166,Excellent
Hiroki Sushi Bar,4.0,304,Excellent
Room Museum,4.0,119,Excellent
Baga Biga Faktoria,4.5,116,Excellent
Asador Portuetxe,4.0,430,Excellent
Sidreria Beharri,4.0,509,Excellent
Sidreria Iruin Astiazaran,4.5,156,Excellent
Mora Mar,4.0,274,Excellent
La Cuina d'en Xavier,4.0,172,Excellent
Namaste indian Restaurant,4.0,55,Excellent
TORO Puerto Marina,4.5,1621,Excellent
La Carteleria,4.5,169,Excellent
Da Mario,4.5,124,Excellent
Sierra Madre Taqueria,4.5,109,Excellent
Gamboa Vinte Taberna,4.0,148,Excellent
Restaurante Bitadorna,4.5,88,Excellent
Taberna Marimorena,4.5,44,Excellent
Gojan,4.5,155,Excellent
Enxalao,4.5,103,Excellent
Galerna Jan Edan,4.0,287,Excellent
La cerveceria,4.5,182,Excellent
Txalupa,4.5,118,Excellent
El Serbal,4.5,952,Excellent
De Morro Fino,4.5,336,Excellent
Daria,4.5,311,Excellent
La Vinoteca,4.5,1529,Excellent
Magnolia Bar,4.5,640,Excellent
Restaurante El Capricho,4.5,378,Excellent
The Wigan Bar La Isla,4.5,638,Excellent
Cheers Bar,5.0,149,Excellent
Restaurante Milan,4.5,644,Excellent
The Drunken Sailor,4.5,328,Excellent
Sam's Bar,4.5,308,Excellent
Metro Ristorante Italiano,4.5,1606,Excellent
Pasta Fresca Restaurante,4.5,462,Excellent
The Mariners Pub,4.5,242,Excellent
Inasia,4.5,786,Excellent
Jacks Smokehouse Benalmadena,4.0,943,Excellent
Gaucho Grill Benalmadena,4.5,254,Excellent
Eban's,4.5,93,Excellent
La Doña Gastronomía Mexicana,4.5,80,Excellent
El Jamonar,4.0,263,Excellent
Wabisabi Ramen Bar,4.5,99,Excellent
Flow Food,5.0,46,Excellent
Panorama,4.5,464,Excellent
Marucho,4.5,1784,Excellent
Bành Nôï Thaï Viet Food,5.0,310,Excellent
El Rincon de Basi Centro,4.5,171,Excellent
Las Patronas centro,4.5,91,Excellent
Cerveceria Karamba,4.5,175,Excellent
La Encina,4.0,762,Excellent
Bar Scondite,4.5,146,Excellent
El Jurelico,4.0,310,Excellent
Restaurante Casco Antiguo,4.0,177,Excellent
Milestone Restaurant and Bar,4.5,114,Excellent
Restaurante Arroceria Edetanus,4.5,116,Excellent
Ganges Tandoori,5.0,128,Excellent
ECo Eco Brunch & café,5.0,189,Excellent
Carisma,5.0,552,Excellent
Sapori Ristorante Pizzeria,4.5,308,Excellent
El Tejado,5.0,507,Excellent
Ristorante Pizzeria Desiderio,4.5,172,Excellent
Restaurante Agua Marina,5.0,263,Excellent
El Makami,4.5,941,Excellent
Zena,4.5,481,Excellent
Taberna Vasca Txupinazo,4.5,159,Excellent
Curry and Spices Tenerife,4.5,148,Excellent
La Piazzetta del Mar,5.0,841,Excellent
Jamon y Mojo,4.5,423,Excellent
Restaurante Oriental Gran Familia,4.5,388,Excellent
Goleta 55,4.5,74,Excellent
Lucy Wang Puerto Portals,4.5,403,Excellent
San Hô Restaurant,5.0,243,Excellent
CHAR Modern cocina & grill,4.5,1347,Excellent
Restaurant 88,4.5,1721,Excellent
Orange Cafe,4.5,836,Excellent
Rosso Sul Mare Restaurant & Wine Bar,4.5,2268,Excellent
Pizzeria Napoli Carihuela,4.5,206,Excellent
Tapas Bar La Salud Adeje,4.5,182,Excellent
TeD - Playa Fañabé,4.5,962,Excellent
japones Nozomi,4.5,169,Excellent
Mirela Restaurant & Pizza,4.5,144,Excellent
Meson Galego Antoxo,4.0,305,Excellent
The Royal Indian Restaurant,4.5,112,Excellent
latierra restaurante,4.5,81,Excellent
Restaurante La Yeya,5.0,59,Excellent
Dona Gabriella,5.0,34,Excellent
La Vaca Glotona,4.5,181,Excellent
Yorkshire Pride Three,4.5,819,Excellent
Paradise Bar,4.5,207,Excellent
Bangkokthai Cuisine,4.5,137,Excellent
Tasca y Basta,4.5,126,Excellent
Clay Oven,4.5,815,Excellent
Snack Bar Mariano's,4.5,1165,Excellent
J. Manu,4.5,486,Excellent
Taberna Andaluza,4.0,360,Excellent
The Old Factory Bar,5.0,63,Excellent
GNAM GNAM Mangio Italiano,5.0,58,Excellent
Stag & Pheasant,4.5,109,Excellent
Joe's Tacos,5.0,95,Excellent
Sol y Mar Cafe,4.0,496,Excellent
The Corner Pizza & Burger,4.5,119,Excellent
The Water's Edge,5.0,68,Excellent
Vulcano Grill Steak House,4.0,589,Excellent
Contraseña by Código de Barra,4.5,61,Excellent
COME HOME ITALIAN Gastrorante Pizzeria italiana,5.0,60,Excellent
Fogón de Mariana - Brasil,4.5,1210,Excellent
Asador Puntaparrilla,5.0,542,Excellent
Almarcen Tavern,4.5,243,Excellent
dosbocados,5.0,190,Excellent
La Mafia se Sienta a la Mesa - Cadiz,4.5,914,Excellent
El Fogón de Mariana - Antulo,4.5,352,Excellent
Beach Club Potito,4.5,167,Excellent
Albatros Terrace&Bar,4.0,147,Excellent
Grimbergen Official House,5.0,39,Excellent
Restaurante Zumeltzegi,4.0,546,Excellent
Arrebol,4.5,544,Excellent
Garage Bistro&Bar,4.5,264,Excellent
Musalima,4.5,639,Excellent
A Plomo Cádiz,4.5,389,Excellent
El Viajero Del Merkao,4.5,716,Excellent
La Isleta de La Vina,4.5,728,Excellent
Salicornia,4.5,301,Excellent
Osteria Milano,4.5,528,Excellent
Gloria Gijon,3.5,642,Average
Zio Pig,4.0,112,Excellent
Restaurante Los Patios,4.0,377,Excellent
Suiza Gijón Restobar,4.5,52,Excellent
MamáGuaja,4.0,226,Excellent
La Entreplanta Del 13,4.5,28,Excellent
Restaurante Parrillada Samil,4.0,98,Excellent
Rojo y Negro,4.0,518,Excellent
Bar Matalauva,4.5,91,Excellent
Txoko,4.0,382,Excellent
Café Saigon,4.0,320,Excellent
KATA4 Oyster Bar,4.0,464,Excellent
Bar Nevada SS,5.0,33,Excellent
Narru Restaurant,4.0,180,Excellent
Kinza café-bistro,5.0,40,Excellent
Igeldo Restaurant,4.0,575,Excellent
Restaurante casa 887,4.0,156,Excellent
La Mulata Restaurant,4.0,645,Excellent
Querida Margarita Restaurant,4.5,450,Excellent
That's Amore Ristorante Italiano,5.0,84,Excellent
Umma,4.0,515,Excellent
Red Rocks Cafe,5.0,60,Excellent
The Steakhouse,4.5,179,Excellent
Olivia Santander,4.0,426,Excellent
La Atalaya de Mayte,4.5,158,Excellent
Asador Ruta del Iberico,4.0,288,Excellent
Chef Vicantan,5.0,63,Excellent
Kenmore Grill and Ollies Bar,4.5,110,Excellent
Pizzeria Trattoria La Parolaccia,4.0,789,Excellent
El Ancla,5.0,58,Excellent
Solric Alta Taverna,4.0,97,Excellent
La Cuca Fera,3.5,338,Average
Restaurant Passadis,4.5,35,Excellent
Rampers Restaurant,5.0,20,Excellent
Quattros Cerveceria,3.5,269,Average
Pizza Boscos,4.0,133,Excellent
El Raco Del Pescador,4.0,149,Excellent
La Pepita,4.0,186,Excellent
El Rincón de Ani,5.0,13,Excellent
La Plazuela,3.5,433,Average
Pizza Y Pasta,4.5,691,Excellent
Restaurante Natividad,4.0,83,Excellent
Taberna Nuevo Torreluz,4.0,240,Excellent
Candil cocina india,4.0,191,Excellent
La Navaja Restaurante,4.5,252,Excellent
Tentation,4.5,192,Excellent
"""Bombay Babu Torviscas",4.5,2716,Excellent
Toby's,4.5,71,Excellent
Bocaditos & Mar,4.5,578,Excellent
Chameli's Café & Restaurant,4.0,1026,Excellent
Tasca La Vida,5.0,56,Excellent
Casa Tres Restaurant & Pablo's Cocktail Bar,4.5,326,Excellent
Toro Tapas & grill,4.5,911,Excellent
Coeur de Filet,4.5,1917,Excellent
Bar America,4.5,208,Excellent
Yorkshire Pride One,4.0,1068,Excellent
Restaurante El Nino,4.5,111,Excellent
Ongi Etorri Manolo 1 Benidorm,4.5,219,Excellent
Libanés,5.0,69,Excellent
NoR Nordic Food,5.0,48,Excellent
La Mar Bonita,4.5,122,Excellent
7Salsas Burger Bar,4.5,90,Excellent
Vinicious - Vinoteca,5.0,41,Excellent
Chiringuito El Canarias Playa,4.0,330,Excellent
Kelly's Restaurant and Grill,5.0,50,Excellent
Restaurante Fenicia,4.5,141,Excellent
Chiringuito Los Leones,4.0,195,Excellent
Casa Juan Los Mellizos,4.0,1905,Excellent
Uptown,4.5,343,Excellent
Banana Beach Bar Levante,5.0,52,Excellent
3 Puntos Restaurante Argentino,4.0,295,Excellent
Merryland,4.5,65,Excellent
Fonda & Tequila,4.0,126,Excellent
La Parada de San Martín,4.5,138,Excellent
MachuPicchu Resto - Bar,5.0,34,Excellent
Restaurante Makati,4.5,199,Excellent
Al Forno Restaurant,4.5,82,Excellent
Restaurante Oscar,4.5,195,Excellent
Cabaña Loca,5.0,35,Excellent
Meson El Torillo,4.0,320,Excellent
Restaurante Aesgaya,4.5,173,Excellent
Clandestino Cocktail Pub,4.5,127,Excellent
Casimira cosas de picar,4.0,294,Excellent
La Malinche,4.0,485,Excellent
La Cañia Restaurante,4.0,1148,Excellent
Alamar,4.0,202,Excellent
Balneario de la Concha,4.0,496,Excellent
La gilda,4.5,99,Excellent
El Roblon de Castiello,4.5,68,Excellent
El Faisan Dorado,5.0,34,Excellent
El Quinto Restaurante,4.0,139,Excellent
Chirimoya Healthy Food Station,4.5,111,Excellent
Ku'Damm Berlin,4.0,426,Excellent
Grand Cafe De Kroon,4.0,207,Excellent
Restaurante El Filandón-Gijón,4.0,99,Excellent
La Flor de Tetuan,4.0,373,Excellent
Bar Cafe Marlo,4.5,138,Excellent
Maizal Food Lovers,4.0,81,Excellent
El Mero Los Mellizos,4.0,1121,Excellent
Restaurante Los Remos Lazaro,4.0,578,Excellent
Restaurant Carnaval,4.5,220,Excellent
Giroki,4.0,120,Excellent
Bar Martinez,3.5,343,Average
Txirrita Sagardotegia,4.5,90,Excellent
Restaurante Anastasio,4.0,178,Excellent
Bar Argia / Donostia,5.0,35,Excellent
Tatami,4.0,221,Excellent
La Tula,4.0,59,Excellent
La Martinesa,4.0,76,Excellent
Toston Bistro,5.0,20,Excellent
Bar Lobishome,4.0,117,Excellent
Trisca Empanadas Gourmet,5.0,25,Excellent
Amares Tapas e Peixes,4.5,45,Excellent
Da Angelo,5.0,32,Excellent
Cactus Mexican fusion food,5.0,15,Excellent
Cantina Mexicana,4.5,148,Excellent
Kaleido,4.0,511,Excellent
Bobby's Tex Mex and Grill,4.0,248,Excellent
Olsson's,5.0,35,Excellent
Shakespeares Bar/ restaurant,4.0,238,Excellent
DRY San Sebastián,4.5,53,Excellent
Le Comidare,4.0,142,Excellent
Kastami'S,4.0,98,Excellent
Marsala&bambu,4.0,62,Excellent
Batuke Taperia Cerveceria,4.5,34,Excellent
Belalola,4.0,76,Excellent
La Curiosidad de Mauro Barreiro,4.5,1019,Excellent
Recreo Chico,4.5,245,Excellent
Gastrobar sensaciones,4.5,56,Excellent
Gadisushi,4.5,259,Excellent
La Tapería del Beato,4.5,240,Excellent
Restaurante El Faro de Cádiz,4.0,3768,Excellent
Restaurante La Despensa,4.0,479,Excellent
Atxuri,4.0,384,Excellent
Aloe Café y Té,4.5,34,Excellent
Bon Bon,5.0,36,Excellent
Aramara,4.5,16,Excellent
Ascuas Grill & Wine,5.0,37,Excellent
Restaurante Frutos,4.0,296,Excellent
Purobar,4.5,90,Excellent
Amazonia Savage,4.5,34,Excellent
Restaurante Arroceria La Lonja,3.5,214,Average
Bar La Oficina,5.0,42,Excellent
Luna Azul,4.5,60,Excellent
Taj Grill,4.5,78,Excellent
Gastrobar El Flamenco,5.0,33,Excellent
Folks Street Food,4.5,30,Excellent
Pizzeria Il Forno,4.5,39,Excellent
Ellen Restaurant,4.5,30,Excellent
Punta Paraíso Restaurante,4.5,209,Excellent
Restaurante La Cúpula,4.5,454,Excellent
Cerveceria TIK TAK,5.0,67,Excellent
Restaurant Amalfi,4.5,100,Excellent
Delhi Village,4.5,122,Excellent
Oriental Slow Boat,4.5,544,Excellent
Salitre Restaurante,4.5,1133,Excellent
White Sand,4.5,421,Excellent
Jade Stone La caleta,4.5,965,Excellent
Restaurant Op Dn Hoek/En la Esquina,5.0,28,Excellent
Gran Maison,4.5,413,Excellent
Scotch Corner Bar,4.5,449,Excellent
Shorthorn Restaurant,4.5,579,Excellent
Meson Bistro,4.5,207,Excellent
Olive Garden Deli,4.5,1347,Excellent
Locanda Italiana,4.5,999,Excellent
Bianco Restaurant,4.5,4791,Excellent
Ilili,4.5,584,Excellent
El Rincon De Pancho,4.5,650,Excellent
Verderame,4.5,91,Excellent
Braseria Aurrera,4.0,456,Excellent
Spasso,4.0,713,Excellent
Hotel Helios Restaurant,4.0,215,Excellent
Bryan's Factory,5.0,59,Excellent
The 4 Kings,4.0,221,Excellent
Yorkshire Pride Two,4.0,304,Excellent
Restaurante Casa Guillermo,4.5,154,Excellent
Purobeach Illetas,4.0,358,Excellent
La Pepita Burger Bar - Santander,4.0,315,Excellent
Dias Desur,4.0,134,Excellent
Il Vicolo,4.0,110,Excellent
Doce Mas Uno,4.5,79,Excellent
meson Les Ruedes,4.0,169,Excellent
Sidreria Carril,4.5,40,Excellent
Parrilla Restaurante Casa Oliva,4.0,76,Excellent
Mas Madera,4.5,42,Excellent
Abba Mia Restaurant,4.0,113,Excellent
Sidreria El Requexu,3.5,228,Average
Café Plaza,4.0,81,Excellent
La Falúa Restaurante,4.0,383,Excellent
La Fava,4.5,88,Excellent
Puente Romano,4.0,47,Excellent
